Var_1,Var_2,Var_3,Var_4,Var_5_Class_1,Var_5_Class_2,Var_5_Class_3,Var_5_Class_4,Var_5_Class_5,Var_5_Class_6,Var_5_Class_7,Var_5_Class_8,Var_6_Class_1,Var_6_Class_2,Var_6_Class_3,Var_6_Class_4,Var_6_Class_5,Var_6_Class_6,Var_6_Class_7,Var_6_Class_8,Var_6_Class_9,Var_6_Class_10,Var_6_Class_11,Var_6_Class_12,Var_7,Var_8,Var_9,Var_10,Var_11,Var_12,Var_13,Input_Data_Set_2
5,0.933060109,63,15.56693989,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,39.7371573,28.38628474,2,1
8,2.12431694,18,14.37568306,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,39.7371573,28.38628474,2,0
18,1.618852459,53,14.88114754,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,39.7371573,28.38628474,2,1
11,1.005464481,12,15.49453552,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,39.7371573,28.38628474,2,1
12,1.008196721,11,14.27459016,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,-1,-1,39.7371573,28.38628474,2,1
10,2.363387978,20,14.13661202,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,39.7371573,28.38628474,2,1
6,1.107923497,38,14.03278689,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,-1,-1,39.7371573,28.38628474,2,1
15,1.318306011,8,15.18169399,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,39.7371573,28.38628474,2,1
28,1.532786885,6,14.96721311,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,2,5,1,-1,39.7371573,28.38628474,2,1
14,1.034153005,16,15.46584699,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,5,1,-1,39.7371573,28.38628474,2,1
14,2.301912568,31,14.19808743,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,39.7371573,28.38628474,2,1
20,1.105191257,20,15.39480874,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,39.7371573,28.38628474,2,1
17,3.005464481,28,13.49453552,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,39.7371573,28.38628474,2,1
21,1.707650273,13,14.79234973,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,3,1,-1,39.7371573,28.38628474,2,1
20,1.741803279,47,14.75819672,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,39.7371573,28.38628474,2,1
14,1.255464481,39,15.24453552,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,3,-1,-1,39.7371573,28.38628474,2,1
14,1.356557377,40,15.14344262,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,0,-1,-1,8.647921698,-1.549623704,2,1
5,1.510928962,4,14.98907104,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,0,-1,-1,8.647921698,-1.549623704,2,1
19,1.393442623,12,15.10655738,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,0,-1,-1,8.647921698,-1.549623704,2,1
13,2.066939891,28,14.43306011,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,0,-1,-1,8.647921698,-1.549623704,2,1
7,1.493169399,68,15.0068306,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,2,-1,-1,8.647921698,-1.549623704,2,1
24,2.31420765,31,14.18579235,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,0,-1,-1,8.647921698,-1.549623704,2,0
34,1.18852459,20,15.31147541,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,5,-1,-1,8.647921698,-1.549623704,2,1
29,1.855191257,49,14.64480874,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,0,1,-1,8.647921698,-1.549623704,2,1
16,1.202185792,30,15.29781421,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,0,-1,-1,8.647921698,-1.549623704,2,1
7,2.199453552,46,14.30054645,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,2,1,-1,8.647921698,-1.549623704,2,1
26,3.230874317,32,13.26912568,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,0,-1,-1,8.647921698,-1.549623704,2,1
14,2.050546448,9,14.44945355,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,0,-1,-1,8.647921698,-1.549623704,2,1
23,1.239071038,11,15.26092896,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,8.647921698,-1.549623704,2,0
27,2.12568306,39,14.37431694,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,8.647921698,-1.549623704,2,0
26,1.228142077,22,15.27185792,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,0,-1,-1,8.647921698,-1.549623704,2,1
40,1.457650273,15,15.04234973,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,0,-1,-1,8.647921698,-1.549623704,2,0
7,4.274590164,16,12.22540984,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,4,1,-1,8.647921698,-1.549623704,2,0
12,1.702185792,4,14.79781421,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,8.647921698,-1.549623704,2,1
7,1.868852459,14,14.63114754,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,2,-1,-1,8.647921698,-1.549623704,2,0
